Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C8",0402,7,100nF,
"C10, C9",0402,2,22pF,
"C11, C12",0603,2,2.2uF,
"C13, C16, C19",0603,3,1uF,
"C14, C17",0805,2,47uF,
"C15, C18",0603,2,10uF,
C7,0603,1,4.7uF,
J1,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04_Socket,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED7, LED8, LED9",LED_6028R,64,SK6812MINI-E,
"R1, R2",0603,2,22Ω,
R3,0603,1,330Ω,
"R4, R5",0603,2,10kΩ,
R6,0603,1,1MΩ,
"S1, S10, S11, S12, S13, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S42, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S55, S6, S64, S7, S8, S9",Hotswap_MX_Plated_1.00u,49,1.00u,
S14,Hotswap_MX_Plated_2.00u,1,1.00u,
"S15, S28",Hotswap_MX_Plated_1.50u,2,1.00u,
S29,Hotswap_MX_Plated_1.75u,1,1.00u,
"S41, S43",Hotswap_MX_Plated_2.25u,2,1.00u,
S54,Hotswap_MX_Plated_2.75u,1,1.00u,
"S56, S57, S58, S60, S61, S62, S63",Hotswap_MX_Plated_1.25u,7,1.00u,
S59,Hotswap_MX_Plated_6.25u,1,1.00u,
"SC1, SC10, SC100, SC101, SC102, SC103, SC104, SC105, SC106, SC107, SC108, SC109, SC11, SC110, SC111, SC112, SC113, SC114, SC115, SC116, SC117, SC118, SC119, SC12, SC120, SC121, SC122, SC123, SC124, SC125, SC126, SC127, SC128, SC13, SC14, SC15, SC16, SC17, SC18, SC19, SC2, SC20, SC21, SC22, SC23, SC24, SC25, SC26, SC27, SC28, SC29, SC3, SC30, SC31, SC32, SC33, SC34, SC35, SC36, SC37, SC38, SC39, SC4, SC40, SC41, SC42, SC43, SC44, SC45, SC46, SC47, SC48, SC49, SC5, SC50, SC51, SC52, SC53, SC54, SC55, SC56, SC57, SC58, SC59, SC6, SC60, SC61, SC62, SC63, SC64, SC65, SC66, SC67, SC68, SC69, SC7, SC70, SC71, SC72, SC73, SC74, SC75, SC76, SC77, SC78, SC79, SC8, SC80, SC81, SC82, SC83, SC84, SC85, SC86, SC87, SC88, SC89, SC9, SC90, SC91, SC92, SC93, SC94, SC95, SC96, SC97, SC98, SC99",0402,128,0.1uF,
"SR+1, SR+10, SR+11, SR+12, SR+13, SR+14, SR+15, SR+16, SR+17, SR+18, SR+19, SR+2, SR+20, SR+21, SR+22, SR+23, SR+24, SR+25, SR+26, SR+27, SR+28, SR+29, SR+3, SR+30, SR+31, SR+32, SR+33, SR+34, SR+35, SR+36, SR+37, SR+38, SR+39, SR+4, SR+40, SR+41, SR+42, SR+43, SR+44, SR+45, SR+46, SR+47, SR+48, SR+49, SR+5, SR+50, SR+51, SR+52, SR+53, SR+54, SR+55, SR+56, SR+57, SR+58, SR+59, SR+6, SR+60, SR+61, SR+62, SR+63, SR+64, SR+7, SR+8, SR+9, SR-1, SR-10, SR-11, SR-12, SR-13, SR-14, SR-15, SR-16, SR-17, SR-18, SR-19, SR-2, SR-20, SR-21, SR-22, SR-23, SR-24, SR-25, SR-26, SR-27, SR-28, SR-29, SR-3, SR-30, SR-31, SR-32, SR-33, SR-34, SR-35, SR-36, SR-37, SR-38, SR-39, SR-4, SR-40, SR-41, SR-42, SR-43, SR-44, SR-45, SR-46, SR-47, SR-48, SR-49, SR-5, SR-50, SR-51, SR-52, SR-53, SR-54, SR-55, SR-56, SR-57, SR-58, SR-59, SR-6, SR-60, SR-61, SR-62, SR-63, SR-64, SR-7, SR-8, SR-9",0402,128,2.2kΩ,
"SU1, SU10, SU11, SU12, SU13, SU14, SU15, SU16, SU17, SU18, SU19, SU2, SU20, SU21, SU22, SU23, SU24, SU25, SU26, SU27, SU28, SU29, SU3, SU30, SU31, SU32, SU33, SU34, SU35, SU36, SU37, SU38, SU39, SU4, SU40, SU41, SU42, SU43, SU44, SU45, SU46, SU47, SU48, SU49, SU5, SU50, SU51, SU52, SU53, SU54, SU55, SU56, SU57, SU58, SU59, SU6, SU60, SU61, SU62, SU63, SU64, SU7, SU8, SU9",CT100LW-HD6,64,CT100LW-HD6,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
U1,SN74AUC08RGYRG4,1,74AHCT125,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U5, U6, U7, U8, U9",TMUX1308BQBR,16,TMUX1308,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
"U3, U4",TPS7A47000RGWT,2,TPS7A4700,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,
