Designator,Mid X,Mid Y,Rotation,Layer
C1,102.7,-153.805,0.0,bottom
C10,210.94,-124.97,0.0,bottom
C11,106.14,-142.135,0.0,bottom
C12,106.14,-144.645,0.0,bottom
C13,106.14,-147.155,0.0,bottom
C14,123.53,-122.185,0.0,bottom
C15,115.91,-114.615,0.0,bottom
C16,126.76,-119.89,0.0,bottom
C17,105.92,-169.555,0.0,bottom
C18,98.3,-161.985,0.0,bottom
C19,98.3,-164.495,0.0,bottom
C2,102.7,-155.775,0.0,bottom
C3,102.7,-157.745,0.0,bottom
C4,99.83,-153.805,0.0,bottom
C5,99.83,-155.775,0.0,bottom
C6,99.83,-157.745,0.0,bottom
C7,106.14,-139.625,0.0,bottom
C8,207.93,-113.72,90.0,bottom
C9,210.94,-123.0,0.0,bottom
J1,165.775,-26.725,0.0,bottom
LED1,38.1,-33.02,0.0,bottom
LED10,209.55,-33.02,0.0,bottom
LED11,228.6,-33.02,0.0,bottom
LED12,247.65,-33.02,0.0,bottom
LED13,266.7,-33.02,0.0,bottom
LED14,295.275,-33.02,0.0,bottom
LED15,42.8625,-52.07,0.0,bottom
LED16,66.675,-52.07,0.0,bottom
LED17,85.725,-52.07,0.0,bottom
LED18,104.775,-52.07,0.0,bottom
LED19,123.825,-52.07,0.0,bottom
LED2,57.15,-33.02,0.0,bottom
LED20,142.875,-52.07,0.0,bottom
LED21,161.925,-52.07,0.0,bottom
LED22,180.975,-52.07,0.0,bottom
LED23,200.025,-52.07,0.0,bottom
LED24,219.075,-52.07,0.0,bottom
LED25,238.125,-52.07,0.0,bottom
LED26,257.175,-52.07,0.0,bottom
LED27,276.225,-52.07,0.0,bottom
LED28,300.0375,-52.07,0.0,bottom
LED29,45.24375,-71.12,0.0,bottom
LED3,76.2,-33.02,0.0,bottom
LED30,71.4375,-71.12,0.0,bottom
LED31,90.4875,-71.12,0.0,bottom
LED32,109.5375,-71.12,0.0,bottom
LED33,128.5875,-71.12,0.0,bottom
LED34,147.6375,-71.12,0.0,bottom
LED35,166.6875,-71.12,0.0,bottom
LED36,185.7375,-71.12,0.0,bottom
LED37,204.7875,-71.12,0.0,bottom
LED38,223.8375,-71.12,0.0,bottom
LED39,242.8875,-71.12,0.0,bottom
LED4,95.25,-33.02,0.0,bottom
LED40,261.9375,-71.12,0.0,bottom
LED41,292.89375,-71.12,0.0,bottom
LED42,323.85,-71.12,0.0,bottom
LED43,50.00625,-90.17,0.0,bottom
LED44,80.9625,-90.17,0.0,bottom
LED45,100.0125,-90.17,0.0,bottom
LED46,119.0625,-90.17,0.0,bottom
LED47,138.1125,-90.17,0.0,bottom
LED48,157.1625,-90.17,0.0,bottom
LED49,176.2125,-90.17,0.0,bottom
LED5,114.3,-33.02,0.0,bottom
LED50,195.2625,-90.17,0.0,bottom
LED51,214.3125,-90.17,0.0,bottom
LED52,233.3625,-90.17,0.0,bottom
LED53,252.4125,-90.17,0.0,bottom
LED54,288.13125,-90.17,0.0,bottom
LED55,323.85,-90.17,0.0,bottom
LED56,40.48125,-109.22,0.0,bottom
LED57,64.29375,-109.22,0.0,bottom
LED58,88.10625,-109.22,0.0,bottom
LED59,159.54375,-109.22,0.0,bottom
LED6,133.35,-33.02,0.0,bottom
LED60,230.98125,-109.22,0.0,bottom
LED61,254.79375,-109.22,0.0,bottom
LED62,278.60625,-109.22,0.0,bottom
LED63,302.41875,-109.22,0.0,bottom
LED64,323.85,-109.22,0.0,bottom
LED7,152.4,-33.02,0.0,bottom
LED8,171.45,-33.02,0.0,bottom
LED9,190.5,-33.02,0.0,bottom
R1,138.53,-114.99,270.0,bottom
R2,140.03,-114.99,270.0,bottom
R3,140.09,-166.15,0.0,bottom
R4,106.14,-149.665,0.0,bottom
R5,106.14,-152.175,0.0,bottom
R6,220.12,-121.91,0.0,bottom
